
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   10:34:43  APR 04, 2023 CP=      0.422

 test--Harmonic Response (P5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    60467.       0.00000       0.00000     -0.218110E-005  0.00000     
    60933.       0.00000       0.00000     -0.209486E-005  0.00000     
    61400.       0.00000       0.00000     -0.365755E-005  0.00000     
    61867.       0.00000       0.00000     -0.128627E-005  0.00000     
    62333.       0.00000       0.00000     -0.203861E-005  0.00000     
    62800.       0.00000       0.00000     -0.113441E-005  0.00000     
    63267.       0.00000       0.00000     -0.447330E-006  0.00000     
    63733.       0.00000       0.00000     -0.195371E-005  0.00000     
    64200.       0.00000       0.00000     -0.213789E-005  0.00000     
    64667.       0.00000       0.00000     -0.305053E-005  0.00000     
    65133.       0.00000       0.00000      0.429472E-005  0.00000     
    65600.       0.00000       0.00000     -0.523709E-006  0.00000     
    66067.       0.00000       0.00000     -0.199041E-005  0.00000     
    66533.       0.00000       0.00000     -0.254185E-005  0.00000     
    67000.       0.00000       0.00000     -0.427007E-005  0.00000     
    67467.       0.00000       0.00000     -0.283517E-005  0.00000     
    67933.       0.00000       0.00000     -0.216095E-005  0.00000     
    68400.       0.00000       0.00000      0.243296E-005  0.00000     
    68867.       0.00000       0.00000     -0.123400E-005  0.00000     
    69333.       0.00000       0.00000     -0.640627E-005  0.00000     
    69800.       0.00000       0.00000     -0.104458E-005  0.00000     
    70267.       0.00000       0.00000     -0.208755E-005  0.00000     
    70733.       0.00000       0.00000      0.104721E-004  0.00000     
    71200.       0.00000       0.00000     -0.150970E-005  0.00000     
    71667.       0.00000       0.00000     -0.128011E-005  0.00000     
    72133.       0.00000       0.00000     -0.366356E-005  0.00000     
    72600.       0.00000       0.00000     -0.347876E-005  0.00000     
    73067.       0.00000       0.00000     -0.632812E-006  0.00000     
