
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   18:02:32  MAY 15, 2023 CP=      0.391

 test--Harmonic Response (F5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    50533.       0.00000       0.00000      -2446.45       0.00000     
    51067.       0.00000       0.00000      -2418.44       0.00000     
    51600.       0.00000       0.00000      -2390.92       0.00000     
    52133.       0.00000       0.00000      -2363.86       0.00000     
    52667.       0.00000       0.00000      -2337.24       0.00000     
    53200.       0.00000       0.00000      -2311.04       0.00000     
    53733.       0.00000       0.00000      -2285.23       0.00000     
    54267.       0.00000       0.00000      -2259.80       0.00000     
    54800.       0.00000       0.00000      -2234.73       0.00000     
    55333.       0.00000       0.00000      -2210.00       0.00000     
    55867.       0.00000       0.00000      -2185.58       0.00000     
    56400.       0.00000       0.00000      -2161.45       0.00000     
    56933.       0.00000       0.00000      -2137.59       0.00000     
    57467.       0.00000       0.00000      -2113.98       0.00000     
    58000.       0.00000       0.00000      -2090.60       0.00000     
    58533.       0.00000       0.00000      -2067.41       0.00000     
    59067.       0.00000       0.00000      -2044.39       0.00000     
    59600.       0.00000       0.00000      -2021.52       0.00000     
    60133.       0.00000       0.00000      -1998.75       0.00000     
    60667.       0.00000       0.00000      -1976.06       0.00000     
    61200.       0.00000       0.00000      -1953.41       0.00000     
    61733.       0.00000       0.00000      -1930.75       0.00000     
    62267.       0.00000       0.00000      -1908.03       0.00000     
    62800.       0.00000       0.00000      -1885.21       0.00000     
    63333.       0.00000       0.00000      -1862.21       0.00000     
    63867.       0.00000       0.00000      -1838.96       0.00000     
    64400.       0.00000       0.00000      -1815.38       0.00000     
    64933.       0.00000       0.00000      -1791.37       0.00000     
    65467.       0.00000       0.00000      -1766.79       0.00000     
    66000.       0.00000       0.00000      -1741.49       0.00000     
    66533.       0.00000       0.00000      -1715.29       0.00000     
    67067.       0.00000       0.00000      -1687.95       0.00000     
    67600.       0.00000       0.00000      -1659.16       0.00000     
    68133.       0.00000       0.00000      -1628.51       0.00000     
    68667.       0.00000       0.00000      -1595.49       0.00000     
    69200.       0.00000       0.00000      -1559.36       0.00000     
    69733.       0.00000       0.00000      -1519.11       0.00000     
    70267.       0.00000       0.00000      -1473.25       0.00000     
    70800.       0.00000       0.00000      -1419.58       0.00000     
    71333.       0.00000       0.00000      -1354.56       0.00000     
    71867.       0.00000       0.00000      -1272.28       0.00000     
    72400.       0.00000       0.00000      -1161.95       0.00000     
    72933.       0.00000       0.00000      -1001.57       0.00000     
    73467.       0.00000       0.00000      -738.302       0.00000     
    74000.       0.00000       0.00000      -205.234       0.00000     
    74533.       0.00000       0.00000       1547.60       0.00000     
    75067.       0.00000       0.00000      -20304.5       0.00000     
    75600.       0.00000       0.00000      -4045.77       0.00000     
    76133.       0.00000       0.00000      -2918.06       0.00000     
    76667.       0.00000       0.00000      -2499.24       0.00000     
    77200.       0.00000       0.00000      -2276.66       0.00000     
    77733.       0.00000       0.00000      -2136.02       0.00000     
    78267.       0.00000       0.00000      -2037.41       0.00000     
    78800.       0.00000       0.00000      -1963.24       0.00000     
    79333.       0.00000       0.00000      -1904.57       0.00000     
    79867.       0.00000       0.00000      -1856.35       0.00000     
    80400.       0.00000       0.00000      -1815.53       0.00000     
    80933.       0.00000       0.00000      -1780.14       0.00000     
    81467.       0.00000       0.00000      -1748.89       0.00000     
    82000.       0.00000       0.00000      -1720.84       0.00000     
    82533.       0.00000       0.00000      -1695.34       0.00000     
    83067.       0.00000       0.00000      -1671.91       0.00000     
    83600.       0.00000       0.00000      -1650.18       0.00000     
    84133.       0.00000       0.00000      -1629.88       0.00000     
    84667.       0.00000       0.00000      -1610.77       0.00000     
    85200.       0.00000       0.00000      -1592.69       0.00000     
    85733.       0.00000       0.00000      -1575.49       0.00000     
    86267.       0.00000       0.00000      -1559.07       0.00000     
    86800.       0.00000       0.00000      -1543.33       0.00000     
    87333.       0.00000       0.00000      -1528.18       0.00000     
    87867.       0.00000       0.00000      -1513.57       0.00000     
    88400.       0.00000       0.00000      -1499.44       0.00000     
    88933.       0.00000       0.00000      -1485.74       0.00000     
    89467.       0.00000       0.00000      -1472.43       0.00000     
    90000.       0.00000       0.00000      -1459.47       0.00000     
    90533.       0.00000       0.00000      -1446.83       0.00000     
    91067.       0.00000       0.00000      -1434.49       0.00000     
    91600.       0.00000       0.00000      -1422.42       0.00000     
    92133.       0.00000       0.00000      -1410.60       0.00000     
    92667.       0.00000       0.00000      -1399.01       0.00000     
    93200.       0.00000       0.00000      -1387.63       0.00000     
    93733.       0.00000       0.00000      -1376.45       0.00000     
    94267.       0.00000       0.00000      -1365.45       0.00000     
    94800.       0.00000       0.00000      -1354.61       0.00000     
    95333.       0.00000       0.00000      -1343.93       0.00000     
    95867.       0.00000       0.00000      -1333.39       0.00000     
    96400.       0.00000       0.00000      -1322.99       0.00000     
    96933.       0.00000       0.00000      -1312.71       0.00000     
    97467.       0.00000       0.00000      -1302.53       0.00000     
    98000.       0.00000       0.00000      -1292.46       0.00000     
    98533.       0.00000       0.00000      -1282.49       0.00000     
    99067.       0.00000       0.00000      -1272.59       0.00000     
    99600.       0.00000       0.00000      -1262.77       0.00000     
   0.10013E+06   0.00000       0.00000      -1253.01       0.00000     
   0.10067E+06   0.00000       0.00000      -1243.31       0.00000     
   0.10120E+06   0.00000       0.00000      -1233.65       0.00000     
   0.10173E+06   0.00000       0.00000      -1224.03       0.00000     
   0.10227E+06   0.00000       0.00000      -1214.43       0.00000     
   0.10280E+06   0.00000       0.00000      -1204.85       0.00000     
   0.10333E+06   0.00000       0.00000      -1195.27       0.00000     
   0.10387E+06   0.00000       0.00000      -1185.69       0.00000     
   0.10440E+06   0.00000       0.00000      -1176.09       0.00000     
   0.10493E+06   0.00000       0.00000      -1166.45       0.00000     
   0.10547E+06   0.00000       0.00000      -1156.76       0.00000     
   0.10600E+06   0.00000       0.00000      -1147.01       0.00000     
   0.10653E+06   0.00000       0.00000      -1137.18       0.00000     
   0.10707E+06   0.00000       0.00000      -1127.25       0.00000     
   0.10760E+06   0.00000       0.00000      -1117.19       0.00000     
   0.10813E+06   0.00000       0.00000      -1106.99       0.00000     
   0.10867E+06   0.00000       0.00000      -1096.60       0.00000     
   0.10920E+06   0.00000       0.00000      -1086.01       0.00000     
   0.10973E+06   0.00000       0.00000      -1075.17       0.00000     
   0.11027E+06   0.00000       0.00000      -1064.04       0.00000     
   0.11080E+06   0.00000       0.00000      -1052.57       0.00000     
   0.11133E+06   0.00000       0.00000      -1040.69       0.00000     
   0.11187E+06   0.00000       0.00000      -1028.34       0.00000     
   0.11240E+06   0.00000       0.00000      -1015.42       0.00000     
   0.11293E+06   0.00000       0.00000      -1001.83       0.00000     
   0.11347E+06   0.00000       0.00000      -987.444       0.00000     
   0.11400E+06   0.00000       0.00000      -972.088       0.00000     
   0.11453E+06   0.00000       0.00000      -955.557       0.00000     
   0.11507E+06   0.00000       0.00000      -937.584       0.00000     
   0.11560E+06   0.00000       0.00000      -917.818       0.00000     
   0.11613E+06   0.00000       0.00000      -895.792       0.00000     
   0.11667E+06   0.00000       0.00000      -870.865       0.00000     
   0.11720E+06   0.00000       0.00000      -842.141       0.00000     
   0.11773E+06   0.00000       0.00000      -808.319       0.00000     
   0.11827E+06   0.00000       0.00000      -767.438       0.00000     
   0.11880E+06   0.00000       0.00000      -716.399       0.00000     
   0.11933E+06   0.00000       0.00000      -649.996       0.00000     
   0.11987E+06   0.00000       0.00000      -558.763       0.00000     
   0.12040E+06   0.00000       0.00000      -423.478       0.00000     
   0.12093E+06   0.00000       0.00000      -198.256       0.00000     
   0.12147E+06   0.00000       0.00000       260.248       0.00000     
   0.12200E+06   0.00000       0.00000       1744.65       0.00000     
   0.12253E+06   0.00000       0.00000      -22079.5       0.00000     
   0.12307E+06   0.00000       0.00000      -3231.80       0.00000     
   0.12360E+06   0.00000       0.00000      -2186.17       0.00000     
   0.12413E+06   0.00000       0.00000      -1808.11       0.00000     
   0.12467E+06   0.00000       0.00000      -1611.17       0.00000     
   0.12520E+06   0.00000       0.00000      -1489.19       0.00000     
   0.12573E+06   0.00000       0.00000      -1405.42       0.00000     
   0.12627E+06   0.00000       0.00000      -1343.77       0.00000     
   0.12680E+06   0.00000       0.00000      -1296.07       0.00000     
   0.12733E+06   0.00000       0.00000      -1257.74       0.00000     
   0.12787E+06   0.00000       0.00000      -1226.01       0.00000     
   0.12840E+06   0.00000       0.00000      -1199.10       0.00000     
   0.12893E+06   0.00000       0.00000      -1175.84       0.00000     
   0.12947E+06   0.00000       0.00000      -1155.38       0.00000     
   0.13000E+06   0.00000       0.00000      -1137.15       0.00000     
   0.13053E+06   0.00000       0.00000      -1120.69       0.00000     
   0.13107E+06   0.00000       0.00000      -1105.69       0.00000     
   0.13160E+06   0.00000       0.00000      -1091.90       0.00000     
   0.13213E+06   0.00000       0.00000      -1079.11       0.00000     
   0.13267E+06   0.00000       0.00000      -1067.17       0.00000     
   0.13320E+06   0.00000       0.00000      -1055.95       0.00000     
   0.13373E+06   0.00000       0.00000      -1045.36       0.00000     
   0.13427E+06   0.00000       0.00000      -1035.31       0.00000     
   0.13480E+06   0.00000       0.00000      -1025.73       0.00000     
   0.13533E+06   0.00000       0.00000      -1016.57       0.00000     
   0.13587E+06   0.00000       0.00000      -1007.77       0.00000     
   0.13640E+06   0.00000       0.00000      -999.301       0.00000     
   0.13693E+06   0.00000       0.00000      -991.115       0.00000     
   0.13747E+06   0.00000       0.00000      -983.187       0.00000     
   0.13800E+06   0.00000       0.00000      -975.489       0.00000     
   0.13853E+06   0.00000       0.00000      -967.998       0.00000     
   0.13907E+06   0.00000       0.00000      -960.694       0.00000     
   0.13960E+06   0.00000       0.00000      -953.557       0.00000     
   0.14013E+06   0.00000       0.00000      -946.572       0.00000     
   0.14067E+06   0.00000       0.00000      -939.723       0.00000     
   0.14120E+06   0.00000       0.00000      -932.999       0.00000     
   0.14173E+06   0.00000       0.00000      -926.385       0.00000     
   0.14227E+06   0.00000       0.00000      -919.873       0.00000     
   0.14280E+06   0.00000       0.00000      -913.450       0.00000     
   0.14333E+06   0.00000       0.00000      -907.108       0.00000     
   0.14387E+06   0.00000       0.00000      -900.838       0.00000     
   0.14440E+06   0.00000       0.00000      -894.632       0.00000     
   0.14493E+06   0.00000       0.00000      -888.481       0.00000     
   0.14547E+06   0.00000       0.00000      -882.379       0.00000     
   0.14600E+06   0.00000       0.00000      -876.317       0.00000     
   0.14653E+06   0.00000       0.00000      -870.289       0.00000     
   0.14707E+06   0.00000       0.00000      -864.289       0.00000     
   0.14760E+06   0.00000       0.00000      -858.308       0.00000     
   0.14813E+06   0.00000       0.00000      -852.341       0.00000     
   0.14867E+06   0.00000       0.00000      -846.381       0.00000     
   0.14920E+06   0.00000       0.00000      -840.421       0.00000     
   0.14973E+06   0.00000       0.00000      -834.454       0.00000     
   0.15027E+06   0.00000       0.00000      -828.473       0.00000     
   0.15080E+06   0.00000       0.00000      -822.470       0.00000     
   0.15133E+06   0.00000       0.00000      -816.438       0.00000     
   0.15187E+06   0.00000       0.00000      -810.368       0.00000     
   0.15240E+06   0.00000       0.00000      -804.253       0.00000     
   0.15293E+06   0.00000       0.00000      -798.084       0.00000     
   0.15347E+06   0.00000       0.00000      -791.850       0.00000     
   0.15400E+06   0.00000       0.00000      -785.541       0.00000     
   0.15453E+06   0.00000       0.00000      -779.147       0.00000     
   0.15507E+06   0.00000       0.00000      -772.654       0.00000     
   0.15560E+06   0.00000       0.00000      -766.051       0.00000     
   0.15613E+06   0.00000       0.00000      -759.321       0.00000     
   0.15667E+06   0.00000       0.00000      -752.449       0.00000     
   0.15720E+06   0.00000       0.00000      -745.417       0.00000     
   0.15773E+06   0.00000       0.00000      -738.205       0.00000     
   0.15827E+06   0.00000       0.00000      -730.791       0.00000     
   0.15880E+06   0.00000       0.00000      -723.149       0.00000     
   0.15933E+06   0.00000       0.00000      -715.250       0.00000     
   0.15987E+06   0.00000       0.00000      -707.063       0.00000     
   0.16040E+06   0.00000       0.00000      -698.549       0.00000     
   0.16093E+06   0.00000       0.00000      -689.665       0.00000     
   0.16147E+06   0.00000       0.00000      -680.362       0.00000     
   0.16200E+06   0.00000       0.00000      -670.582       0.00000     
   0.16253E+06   0.00000       0.00000      -660.254       0.00000     
   0.16307E+06   0.00000       0.00000      -649.299       0.00000     
   0.16360E+06   0.00000       0.00000      -637.620       0.00000     
   0.16413E+06   0.00000       0.00000      -625.100       0.00000     
   0.16467E+06   0.00000       0.00000      -611.598       0.00000     
   0.16520E+06   0.00000       0.00000      -596.938       0.00000     
   0.16573E+06   0.00000       0.00000      -580.907       0.00000     
   0.16627E+06   0.00000       0.00000      -563.232       0.00000     
   0.16680E+06   0.00000       0.00000      -543.566       0.00000     
   0.16733E+06   0.00000       0.00000      -521.462       0.00000     
   0.16787E+06   0.00000       0.00000      -496.326       0.00000     
   0.16840E+06   0.00000       0.00000      -467.360       0.00000     
   0.16893E+06   0.00000       0.00000      -433.459       0.00000     
   0.16947E+06   0.00000       0.00000      -393.057       0.00000     
