Utente1,Utente2,ScoreML
0.1,0.2,0.559403303143314
0.1,13.3,0.190421234852856
0.1,14.1,0.266260162601626
0.1,14.2,0.30117899249732
0.1,14.3,0.290149892933619
0.1,15.1,0.253107344632768
0.1,15.2,0.255269320843091
0.1,15.3,0.25849582172702
0.1,16.1,0.205911330049261
0.1,16.3,0.309484193011647
0.1,17.1,0.205983889528193
0.1,17.2,0.198857142857143
0.1,17.3,0.167741935483871
0.1,19.1,0.28135593220339
0.1,19.2,0.247650635710337
0.1,19.3,0.251622566150774
0.1,20.1,0.215777262180974
0.1,20.2,0.225215517241379
0.1,20.3,0.263187748156551
0.1,21.1,0.193423597678917
0.1,21.2,0.177429876060013
0.1,21.3,0.21571072319202
0.1,22.2,0.205714285714286
0.1,24.1,0.214517876489707
0.1,24.2,0.265317594154019
0.1,24.3,0.23177366702938
0.1,4.1,0.219512195121951
0.1,4.2,0.164222873900293
0.1,8.1,0.270425776754891
0.2,13.3,0.19953325554259
0.2,14.1,0.263479145473042
0.2,14.2,0.315560391730141
0.2,14.3,0.286019210245464
0.2,15.1,0.243957279370433
0.2,15.2,0.242668200115009
0.2,15.3,0.244943820224719
0.2,16.1,0.246168582375479
0.2,16.3,0.246284501061571
0.2,17.1,0.210526315789474
0.2,17.2,0.198843930635838
0.2,17.3,0.1541924592009
0.2,19.1,0.266818700114025
0.2,19.2,0.245929253228523
0.2,19.3,0.228160328879753
0.2,20.1,0.200234192037471
0.2,20.2,0.219792236194642
0.2,20.3,0.217260108630054
0.2,21.1,0.17103620474407
0.2,21.2,0.154121863799283
0.2,21.3,0.151884057971014
0.2,22.2,0.215153267784847
0.2,24.1,0.236432025792585
0.2,24.2,0.328627893845285
0.2,24.3,0.245081506464306
0.2,4.1,0.246434683399886
0.2,4.2,0.184971098265896
0.2,8.1,0.304271503803394
13.3,14.1,0.188063063063063
13.3,14.2,0.178082191780822
13.3,14.3,0.17960088691796
13.3,15.1,0.223899371069182
13.3,15.2,0.188703465982028
13.3,15.3,0.173700305810398
13.3,16.1,0.20053050397878
13.3,16.3,0.187612748045701
13.3,17.1,0.18601667735728
13.3,17.2,0.143391521197007
13.3,17.3,0.15234375
13.3,19.1,0.175824175824176
13.3,19.2,0.201420271142673
13.3,19.3,0.174957118353345
13.3,20.1,0.174346201743462
13.3,20.2,0.221296847114813
13.3,20.3,0.273955773955774
13.3,21.1,0.155388471177945
13.3,21.2,0.188376753507014
13.3,21.3,0.186986734049274
13.3,22.2,0.200395517468688
13.3,24.1,0.179906542056075
13.3,24.2,0.207332490518331
13.3,24.3,0.17643352236925
13.3,4.1,0.232731798382078
13.3,4.2,0.184415584415584
13.3,8.1,0.240680183126226
14.1,14.2,0.423096067695371
14.1,14.3,0.400196656833825
14.1,15.1,0.257217847769029
14.1,15.2,0.239119035133718
14.1,15.3,0.208695652173913
14.1,16.1,0.234865725989986
14.1,16.3,0.250125062531266
14.1,17.1,0.154340836012862
14.1,17.2,0.17855198693522
14.1,17.3,0.141239892183288
14.1,19.1,0.248677248677249
14.1,19.2,0.231466666666667
14.1,19.3,0.223091976516634
14.1,20.1,0.200113058224986
14.1,20.2,0.217811158798283
14.1,20.3,0.209544706527702
14.1,21.1,0.188279301745636
14.1,21.2,0.180681818181818
14.1,21.3,0.174875484228002
14.1,22.2,0.284004352557127
14.1,24.1,0.210313447927199
14.1,24.2,0.204145077720207
14.1,24.3,0.198285101822079
14.1,4.1,0.205486820871436
14.1,4.2,0.184912081678956
14.1,8.1,0.190748143917761
14.2,14.3,0.460070316423908
14.2,15.1,0.233062330623306
14.2,15.2,0.274266365688488
14.2,15.3,0.2208
14.2,16.1,0.2184954480115
14.2,16.3,0.23599782490484
14.2,17.1,0.185227272727273
14.2,17.2,0.18851087562744
14.2,17.3,0.177900552486188
14.2,19.1,0.26504693539481
14.2,19.2,0.256779192030991
14.2,19.3,0.245827010622155
14.2,20.1,0.202915451895044
14.2,20.2,0.237569060773481
14.2,20.3,0.268041237113402
14.2,21.1,0.175925925925926
14.2,21.2,0.172594752186589
14.2,21.3,0.18609865470852
14.2,22.2,0.283396430502975
14.2,24.1,0.187402394586153
14.2,24.2,0.219967965830219
14.2,24.3,0.228325255788907
14.2,4.1,0.226289517470882
14.2,4.2,0.231292517006803
14.2,8.1,0.169452449567723
14.3,15.1,0.266946925906463
14.3,15.2,0.289183222958057
14.3,15.3,0.238020010531859
14.3,16.1,0.20631970260223
14.3,16.3,0.228097459823743
14.3,17.1,0.193304535637149
14.3,17.2,0.227973568281938
14.3,17.3,0.173913043478261
14.3,19.1,0.253627082213864
14.3,19.2,0.236133992311917
14.3,19.3,0.208607594936709
14.3,20.1,0.236031927023945
14.3,20.2,0.250270855904659
14.3,20.3,0.224478285391991
14.3,21.1,0.169359331476323
14.3,21.2,0.178733031674208
14.3,21.3,0.164293537787514
14.3,22.2,0.273673257023933
14.3,24.1,0.211967545638945
14.3,24.2,0.265072765072765
14.3,24.3,0.20965230928905
14.3,4.1,0.20979020979021
14.3,4.2,0.23013698630137
14.3,8.1,0.186651583710407
15.1,15.2,0.353071389042612
15.1,15.3,0.398671096345515
15.1,16.1,0.223088163662932
15.1,16.3,0.228959749085206
15.1,17.1,0.186833855799373
15.1,17.2,0.152492668621701
15.1,17.3,0.145059965733866
15.1,19.1,0.206815511163337
15.1,19.2,0.162684869169511
