Utente1,Utente2,ScoreML
0.1,0.2,0.677011024908126
0.1,13.3,0.35190789864103
0.1,14.1,0.454989839072884
0.1,14.2,0.41238310971714
0.1,14.3,0.467588994248407
0.1,15.1,0.456711950264794
0.1,15.2,0.404625730626611
0.1,15.3,0.424698435447271
0.1,16.1,0.364057489012947
0.1,16.3,0.449014231622927
0.1,17.1,0.302263190479466
0.1,17.2,0.249576749435666
0.1,17.3,0.266303995855191
0.1,19.1,0.408920130893225
0.1,19.2,0.423029520511767
0.1,19.3,0.417121377470595
0.1,20.1,0.36770352234155
0.1,20.2,0.380700011041184
0.1,20.3,0.334527386179801
0.1,21.1,0.417084013280063
0.1,21.2,0.410825899629832
0.1,21.3,0.373641474078701
0.1,22.2,0.32022329358031
0.1,24.1,0.396735795803166
0.1,24.2,0.423416789396171
0.1,24.3,0.404782993799823
0.1,4.1,0.404352196794986
0.1,4.2,0.342369347061123
0.1,8.1,0.33882478489962
0.2,13.3,0.331346578366446
0.2,14.1,0.444055223573048
0.2,14.2,0.438478027867095
0.2,14.3,0.476998050682261
0.2,15.1,0.434768671866652
0.2,15.2,0.395728715728716
0.2,15.3,0.426197028068244
0.2,16.1,0.339859216893973
0.2,16.3,0.411410874873444
0.2,17.1,0.264092846991947
0.2,17.2,0.252516612935062
0.2,17.3,0.256809801356013
0.2,19.1,0.3722440608443
0.2,19.2,0.392980531944064
0.2,19.3,0.389400531103452
0.2,20.1,0.376564464119801
0.2,20.2,0.370565469791443
0.2,20.3,0.357556342381836
0.2,21.1,0.410253577150434
0.2,21.2,0.378161698283649
0.2,21.3,0.379674796747968
0.2,22.2,0.350897577412421
0.2,24.1,0.399093227543213
0.2,24.2,0.443791661959101
0.2,24.3,0.415208067694448
0.2,4.1,0.34415119290319
0.2,4.2,0.31892893431355
0.2,8.1,0.365307998774134
13.3,14.1,0.359567455039611
13.3,14.2,0.262400193563997
13.3,14.3,0.302105147139866
13.3,15.1,0.335531838349922
13.3,15.2,0.318396846254928
13.3,15.3,0.35601246105919
13.3,16.1,0.252534442422667
13.3,16.3,0.373298679980849
13.3,17.1,0.237151960105278
13.3,17.2,0.262091202210963
